TCrID,Cargo ID,objectID,eventID
Cargo ID_98,Cr8,tr50,assign_tr50_Pcp27
Cargo ID_99,Cr8,tr3,assign_tr3_Pcp27
Cargo ID_100,Cr3,tr32,assign_tr32_Pcp9
Cargo ID_101,Cr3,tr28,assign_tr28_Pcp9
Cargo ID_102,Cr9,tr1,assign_tr1_Pcp24
Cargo ID_103,Cr9,tr25,assign_tr25_Pcp24
Cargo ID_104,Cr5,tr48,assign_tr48_Pcp6
Cargo ID_105,Cr5,tr9,assign_tr9_Pcp6
Cargo ID_106,Cr4,tr12,assign_tr12_Pcp65
Cargo ID_107,Cr4,tr43,assign_tr43_Pcp65
Cargo ID_108,Cr11,tr7,assign_tr7_Pcp20
Cargo ID_109,Cr11,tr5,assign_tr5_Pcp20
Cargo ID_110,Cr10,tr21,assign_tr21_Pcp26
Cargo ID_111,Cr10,tr31,assign_tr31_Pcp26
Cargo ID_112,Cr8,tr13,assign_tr13_Pcp19
Cargo ID_113,Cr8,tr41,assign_tr41_Pcp19
Cargo ID_114,Cr12,tr29,assign_tr29_Pcp97
Cargo ID_115,Cr12,tr22,assign_tr22_Pcp97
Cargo ID_116,Cr15,tr15,assign_tr15_Pcp95
Cargo ID_117,Cr15,tr23,assign_tr23_Pcp95
Cargo ID_118,Cr6,tr24,assign_tr24_Pcp94
Cargo ID_119,Cr3,tr11,assign_tr11_Pcp15
Cargo ID_120,Cr3,tr34,assign_tr34_Pcp15
Cargo ID_121,Cr6,tr32,assign_tr32_Pcp94
Cargo ID_122,Cr16,tr1,assign_tr1_Pcp46
Cargo ID_123,Cr16,tr27,assign_tr27_Pcp46
Cargo ID_124,Cr18,tr37,assign_tr37_Pcp99
Cargo ID_125,Cr18,tr39,assign_tr39_Pcp99
Cargo ID_126,Cr2,tr16,assign_tr16_Pcp40
Cargo ID_127,Cr5,tr5,assign_tr5_Pcp73
Cargo ID_128,Cr2,tr10,assign_tr10_Pcp40
Cargo ID_129,Cr5,tr40,assign_tr40_Pcp73
Cargo ID_130,Cr14,tr44,assign_tr44_Pcp84
Cargo ID_131,Cr14,tr49,assign_tr49_Pcp84
Cargo ID_132,Cr19,tr14,assign_tr14_Pcp33
Cargo ID_133,Cr19,tr42,assign_tr42_Pcp33
Cargo ID_134,Cr15,tr31,assign_tr31_Pcp13
Cargo ID_135,Cr15,tr9,assign_tr9_Pcp13
Cargo ID_136,Cr4,tr35,assign_tr35_Pcp1
Cargo ID_137,Cr4,tr50,assign_tr50_Pcp1
Cargo ID_138,Cr20,tr15,assign_tr15_Pcp89
Cargo ID_139,Cr20,tr3,assign_tr3_Pcp89
Cargo ID_140,Cr17,tr38,assign_tr38_Pcp71
Cargo ID_141,Cr17,tr18,assign_tr18_Pcp71
Cargo ID_142,Cr1,tr25,assign_tr25_Pcp93
Cargo ID_143,Cr1,tr33,assign_tr33_Pcp93
Cargo ID_144,Cr10,tr5,assign_tr5_Pcp8
Cargo ID_145,Cr10,tr13,assign_tr13_Pcp8
Cargo ID_146,Cr9,tr41,assign_tr41_Pcp12
Cargo ID_147,Cr9,tr46,assign_tr46_Pcp12
Cargo ID_148,Cr13,tr8,assign_tr8_Pcp30
Cargo ID_149,Cr13,tr28,assign_tr28_Pcp30
Cargo ID_150,Cr11,tr2,assign_tr2_Pcp56
Cargo ID_151,Cr11,tr22,assign_tr22_Pcp56
Cargo ID_152,Cr17,tr30,assign_tr30_Pcp17
Cargo ID_153,Cr17,tr31,assign_tr31_Pcp17
Cargo ID_154,Cr16,tr12,assign_tr12_Pcp3
Cargo ID_155,Cr16,tr19,assign_tr19_Pcp3
Cargo ID_156,Cr4,tr26,assign_tr26_Pcp14
Cargo ID_157,Cr4,tr24,assign_tr24_Pcp14
Cargo ID_158,Cr12,tr5,assign_tr5_Pcp25
Cargo ID_159,Cr12,tr45,assign_tr45_Pcp25
Cargo ID_160,Cr19,tr29,assign_tr29_Pcp11
Cargo ID_161,Cr19,tr25,assign_tr25_Pcp11
Cargo ID_162,Cr8,tr1,assign_tr1_Pcp96
Cargo ID_163,Cr8,tr47,assign_tr47_Pcp96
Cargo ID_164,Cr2,tr3,assign_tr3_Pcp92
Cargo ID_165,Cr2,tr7,assign_tr7_Pcp92
Cargo ID_166,Cr3,tr42,assign_tr42_Pcp85
Cargo ID_167,Cr3,tr16,assign_tr16_Pcp85
Cargo ID_168,Cr9,tr8,assign_tr8_Pcp80
Cargo ID_169,Cr9,tr30,assign_tr30_Pcp80
Cargo ID_170,Cr14,tr13,assign_tr13_Pcp35
Cargo ID_171,Cr14,tr23,assign_tr23_Pcp35
Cargo ID_172,Cr7,tr31,assign_tr31_Pcp88
Cargo ID_173,Cr7,tr26,assign_tr26_Pcp88
Cargo ID_174,Cr18,tr5,assign_tr5_Pcp82
Cargo ID_175,Cr18,tr13,assign_tr13_Pcp82
Cargo ID_176,Cr5,tr9,assign_tr9_Pcp78
Cargo ID_177,Cr5,tr23,assign_tr23_Pcp78
Cargo ID_178,Cr4,tr42,assign_tr42_Pcp61
Cargo ID_179,Cr4,tr21,assign_tr21_Pcp61
Cargo ID_180,Cr1,tr30,assign_tr30_Pcp57
Cargo ID_181,Cr1,tr29,assign_tr29_Pcp57
Cargo ID_182,Cr6,tr20,assign_tr20_Pcp32
Cargo ID_183,Cr6,tr14,assign_tr14_Pcp32
Cargo ID_184,Cr11,tr23,assign_tr23_Pcp58
Cargo ID_185,Cr11,tr49,assign_tr49_Pcp58
Cargo ID_186,Cr20,tr35,assign_tr35_Pcp37
Cargo ID_187,Cr20,tr38,assign_tr38_Pcp37
Cargo ID_188,Cr14,tr20,assign_tr20_Pcp75
Cargo ID_189,Cr14,tr22,assign_tr22_Pcp75
Cargo ID_190,Cr15,tr39,assign_tr39_Pcp62
Cargo ID_191,Cr17,tr6,assign_tr6_Pcp50
Cargo ID_192,Cr17,tr46,assign_tr46_Pcp50
Cargo ID_193,Cr15,tr50,assign_tr50_Pcp62
Cargo ID_194,Cr13,tr8,assign_tr8_Pcp77
Cargo ID_195,Cr13,tr17,assign_tr17_Pcp77
Cargo ID_196,Cr18,tr23,assign_tr23_Pcp51
Cargo ID_197,Cr18,tr29,assign_tr29_Pcp51
Cargo ID_198,Cr10,tr29,assign_tr29_Pcp70
Cargo ID_199,Cr10,tr49,assign_tr49_Pcp70
