ocel_id;ocel_time
eval_trs_exittr3_Pcp83;2024-04-05 07:57:04
eval_trs_exittr6_Pcp54;2024-04-05 08:26:01
eval_trs_exittr50_Pcp91;2024-04-05 08:33:44
eval_trs_exittr49_Pcp27;2024-04-05 10:09:42
eval_trs_exittr12_Pcp46;2024-04-05 10:18:05
eval_trs_exittr4_Pcp71;2024-04-05 10:30:47
eval_trs_exittr18_Pcp3;2024-04-05 10:42:07
eval_trs_exittr15_Pcp43;2024-04-05 10:58:45
eval_trs_exittr9_Pcp10;2024-04-05 12:10:49
eval_trs_exittr46_Pcp79;2024-04-05 12:43:20
eval_trs_exittr24_Pcp22;2024-04-05 13:32:35
eval_trs_exittr26_Pcp15;2024-04-05 15:19:39
eval_trs_exittr16_Pcp48;2024-04-05 15:20:51
eval_trs_exittr35_Pcp85;2024-04-05 15:23:57
eval_trs_exittr25_Pcp14;2024-04-05 16:04:53
eval_trs_exittr1_Pcp46;2024-04-05 16:25:48
eval_trs_exittr14_Pcp55;2024-04-05 16:50:34
eval_trs_exittr44_Pcp25;2024-04-05 16:56:05
eval_trs_exittr31_Pcp55;2024-04-05 17:13:04
eval_trs_exittr48_Pcp65;2024-04-05 17:49:44
eval_trs_exittr11_Pcp23;2024-04-05 18:01:24
eval_trs_exittr13_Pcp4;2024-04-05 18:41:23
eval_trs_exittr47_Pcp78;2024-04-05 19:35:40
eval_trs_exittr21_Pcp34;2024-04-08 07:53:26
eval_trs_exittr22_Pcp89;2024-04-08 07:59:58
eval_trs_exittr2_Pcp51;2024-04-08 08:47:44
eval_trs_exittr17_Pcp72;2024-04-08 09:40:10
eval_trs_exittr5_Pcp2;2024-04-08 09:41:23
eval_trs_exittr20_Pcp50;2024-04-08 09:50:27
eval_trs_exittr43_Pcp14;2024-04-08 09:55:07
eval_trs_exittr6_Pcp53;2024-04-08 10:34:17
eval_trs_exittr8_Pcp6;2024-04-08 10:37:53
eval_trs_exittr28_Pcp43;2024-04-08 10:48:31
eval_trs_exittr27_Pcp60;2024-04-08 11:04:31
eval_trs_exittr45_Pcp25;2024-04-08 11:19:22
eval_trs_exittr19_Pcp58;2024-04-08 11:27:07
eval_trs_exittr33_Pcp61;2024-04-08 11:35:30
eval_trs_exittr42_Pcp66;2024-04-08 11:47:23
eval_trs_exittr3_Pcp70;2024-04-08 11:50:13
eval_trs_exittr37_Pcp89;2024-04-08 12:05:22
eval_trs_exittr7_Pcp85;2024-04-08 12:32:26
eval_trs_exittr50_Pcp48;2024-04-08 12:42:55
eval_trs_exittr29_Pcp76;2024-04-08 13:44:31
eval_trs_exittr39_Pcp24;2024-04-08 13:52:21
eval_trs_exittr9_Pcp85;2024-04-08 14:51:22
