ocel_id;ocel_time
load_trucktr25;2024-05-13 16:46:42
load_trucktr31;2024-05-13 17:09:23
load_trucktr19;2024-05-13 17:17:25
load_trucktr23;2024-05-14 09:17:40
load_trucktr34;2024-05-14 09:21:51
load_trucktr13;2024-05-14 09:38:48
load_trucktr41;2024-05-14 11:31:00
load_trucktr18;2024-05-14 11:33:58
load_trucktr20;2024-05-14 11:47:18
load_trucktr6;2024-05-14 12:15:34
load_trucktr37;2024-05-14 12:17:58
load_trucktr28;2024-05-14 13:28:29
load_trucktr10;2024-05-14 14:14:07
load_trucktr3;2024-05-14 14:48:24
load_trucktr47;2024-05-14 14:48:59
load_trucktr4;2024-05-14 15:23:28
load_trucktr45;2024-05-14 15:27:19
load_trucktr39;2024-05-14 15:44:30
load_trucktr48;2024-05-14 16:27:45
load_trucktr30;2024-05-14 17:55:18
load_trucktr15;2024-05-15 07:42:51
load_trucktr42;2024-05-15 08:25:48
load_trucktr29;2024-05-15 09:15:20
load_trucktr7;2024-05-15 09:29:29
load_trucktr5;2024-05-15 09:42:05
load_trucktr8;2024-05-15 10:08:29
load_trucktr11;2024-05-15 10:51:44
load_trucktr43;2024-05-15 11:15:06
load_trucktr22;2024-05-15 15:44:57
load_trucktr40;2024-05-15 15:54:24
load_trucktr50;2024-05-15 16:42:34
load_trucktr33;2024-05-15 17:12:39
load_trucktr44;2024-05-15 17:27:57
load_trucktr16;2024-05-15 18:16:11
load_trucktr6;2024-05-15 18:59:37
load_trucktr27;2024-05-16 08:47:02
load_trucktr21;2024-05-16 09:56:01
load_trucktr32;2024-05-16 10:03:31
load_trucktr38;2024-05-16 11:10:51
load_trucktr26;2024-05-16 11:43:42
load_trucktr39;2024-05-16 11:50:32
load_trucktr24;2024-05-16 14:23:46
load_trucktr17;2024-05-16 14:33:11
load_trucktr12;2024-05-16 14:41:38
load_trucktr37;2024-05-16 15:30:53
load_trucktr49;2024-05-16 15:53:05
load_trucktr46;2024-05-16 15:56:35
load_trucktr35;2024-05-16 16:54:39
load_trucktr13;2024-05-16 17:18:19
load_trucktr18;2024-05-16 17:21:02
load_trucktr7;2024-05-16 17:39:38
load_trucktr36;2024-05-17 08:00:44
load_trucktr14;2024-05-17 08:07:34
load_trucktr34;2024-05-17 08:26:44
load_trucktr48;2024-05-17 09:33:30
load_trucktr29;2024-05-17 09:54:57
load_trucktr19;2024-05-17 10:51:21
load_trucktr30;2024-05-17 11:02:31
load_trucktr43;2024-05-17 12:37:27
load_trucktr25;2024-05-17 13:26:54
load_trucktr31;2024-05-17 13:49:03
load_trucktr3;2024-05-17 14:19:07
load_trucktr1;2024-05-17 14:29:41
load_trucktr9;2024-05-17 14:39:24
load_trucktr41;2024-05-17 15:53:43
load_trucktr8;2024-05-17 15:55:49
load_trucktr23;2024-05-17 17:04:28
load_trucktr47;2024-05-17 17:52:17
load_trucktr42;2024-05-20 07:15:11
load_trucktr2;2024-05-20 07:27:58
load_trucktr28;2024-05-20 09:13:31
load_trucktr20;2024-05-20 09:51:34
load_trucktr33;2024-05-20 10:48:15
load_trucktr15;2024-05-20 13:57:29
load_trucktr37;2024-05-20 15:13:10
load_trucktr32;2024-05-20 15:22:01
load_trucktr38;2024-05-20 16:38:26
load_trucktr35;2024-05-20 16:48:00
load_trucktr10;2024-05-21 08:12:42
load_trucktr11;2024-05-21 08:56:05
load_trucktr6;2024-05-21 09:16:29
load_trucktr24;2024-05-21 09:37:58
load_trucktr22;2024-05-21 09:48:13
load_trucktr27;2024-05-21 11:28:03
load_trucktr7;2024-05-21 11:46:49
load_trucktr18;2024-05-21 11:56:58
load_trucktr45;2024-05-21 11:59:18
load_trucktr12;2024-05-21 11:59:41
load_trucktr40;2024-05-21 13:41:04
load_trucktr9;2024-05-21 13:57:33
load_trucktr31;2024-05-21 14:45:14
load_trucktr3;2024-05-21 14:50:13
load_trucktr23;2024-05-21 14:50:43
load_trucktr30;2024-05-21 15:16:25
load_trucktr36;2024-05-21 15:48:14
load_trucktr43;2024-05-21 16:39:06
load_trucktr25;2024-05-22 07:33:45
load_trucktr49;2024-05-22 07:33:51
load_trucktr4;2024-05-22 08:37:43
load_trucktr34;2024-05-22 09:21:45
load_trucktr44;2024-05-22 10:36:01
load_trucktr41;2024-05-22 11:20:06
load_trucktr2;2024-05-22 11:36:30
load_trucktr28;2024-05-22 14:04:22
load_trucktr46;2024-05-22 15:14:05
load_trucktr26;2024-05-22 15:49:40
load_trucktr21;2024-05-22 16:30:39
load_trucktr20;2024-05-22 16:53:02
load_trucktr5;2024-05-22 17:51:19
load_trucktr29;2024-05-23 07:25:22
load_trucktr47;2024-05-23 07:40:48
load_trucktr19;2024-05-23 07:51:54
load_trucktr13;2024-05-23 08:19:30
load_trucktr45;2024-05-23 11:07:55
load_trucktr14;2024-05-23 11:45:52
load_trucktr22;2024-05-23 12:02:03
load_trucktr7;2024-05-23 13:10:45
load_trucktr23;2024-05-23 13:50:33
load_trucktr8;2024-05-23 14:09:32
load_trucktr27;2024-05-23 14:18:52
load_trucktr33;2024-05-23 14:45:55
load_trucktr6;2024-05-23 15:05:15
load_trucktr42;2024-05-23 15:26:34
load_trucktr40;2024-05-23 15:42:00
load_trucktr25;2024-05-23 15:59:18
load_trucktr15;2024-05-23 16:23:21
load_trucktr39;2024-05-23 17:06:46
load_trucktr1;2024-05-23 19:31:35
load_trucktr11;2024-05-23 19:32:06
load_trucktr12;2024-05-24 07:44:01
load_trucktr3;2024-05-24 08:11:41
load_trucktr16;2024-05-24 09:28:08
