ocel_id;ocel_time
input_tally_sheettr21;2024-05-14 17:02:33
input_tally_sheettr27;2024-05-14 19:16:00
input_tally_sheettr44;2024-05-14 21:06:54
input_tally_sheettr33;2024-05-15 08:01:20
input_tally_sheettr26;2024-05-15 08:52:10
input_tally_sheettr32;2024-05-15 09:13:10
input_tally_sheettr24;2024-05-15 10:26:47
input_tally_sheettr16;2024-05-15 10:27:03
input_tally_sheettr6;2024-05-15 11:31:59
input_tally_sheettr18;2024-05-15 12:05:07
input_tally_sheettr17;2024-05-15 12:11:16
input_tally_sheettr38;2024-05-15 12:21:33
input_tally_sheettr36;2024-05-15 13:19:19
input_tally_sheettr49;2024-05-15 13:59:39
input_tally_sheettr14;2024-05-15 14:25:15
input_tally_sheettr39;2024-05-15 14:54:18
input_tally_sheettr13;2024-05-15 15:42:19
input_tally_sheettr37;2024-05-15 15:49:19
input_tally_sheettr25;2024-05-15 16:07:35
input_tally_sheettr12;2024-05-15 16:41:58
input_tally_sheettr30;2024-05-15 16:54:02
input_tally_sheettr48;2024-05-15 17:08:12
input_tally_sheettr34;2024-05-15 18:39:50
input_tally_sheettr46;2024-05-15 19:09:09
input_tally_sheettr35;2024-05-15 20:31:51
input_tally_sheettr9;2024-05-16 08:10:53
input_tally_sheettr7;2024-05-16 09:48:31
input_tally_sheettr31;2024-05-16 10:38:53
input_tally_sheettr19;2024-05-16 11:07:15
input_tally_sheettr43;2024-05-16 11:51:23
input_tally_sheettr8;2024-05-16 11:56:48
input_tally_sheettr41;2024-05-16 12:03:04
input_tally_sheettr29;2024-05-16 12:06:26
input_tally_sheettr2;2024-05-16 14:41:37
input_tally_sheettr15;2024-05-16 16:20:47
input_tally_sheettr42;2024-05-16 16:29:08
input_tally_sheettr3;2024-05-16 16:46:22
input_tally_sheettr33;2024-05-16 17:00:45
input_tally_sheettr1;2024-05-16 18:18:51
input_tally_sheettr23;2024-05-16 21:13:49
input_tally_sheettr28;2024-05-16 21:58:13
input_tally_sheettr20;2024-05-16 23:16:12
input_tally_sheettr47;2024-05-17 09:25:22
input_tally_sheettr32;2024-05-17 10:23:49
input_tally_sheettr10;2024-05-17 10:48:06
input_tally_sheettr6;2024-05-17 11:47:39
input_tally_sheettr38;2024-05-17 15:35:27
input_tally_sheettr37;2024-05-17 15:55:00
input_tally_sheettr22;2024-05-17 17:11:08
input_tally_sheettr40;2024-05-17 18:19:31
input_tally_sheettr35;2024-05-17 19:14:01
input_tally_sheettr11;2024-05-17 20:25:21
input_tally_sheettr27;2024-05-20 08:15:45
input_tally_sheettr18;2024-05-20 08:47:29
input_tally_sheettr45;2024-05-20 09:39:15
input_tally_sheettr7;2024-05-20 11:01:07
input_tally_sheettr24;2024-05-20 12:04:56
input_tally_sheettr9;2024-05-20 14:47:45
input_tally_sheettr3;2024-05-20 15:18:56
input_tally_sheettr36;2024-05-20 16:01:10
input_tally_sheettr34;2024-05-20 16:10:32
input_tally_sheettr31;2024-05-20 16:11:05
input_tally_sheettr43;2024-05-20 16:14:11
input_tally_sheettr4;2024-05-20 16:19:43
input_tally_sheettr12;2024-05-20 17:05:45
input_tally_sheettr49;2024-05-20 18:14:23
input_tally_sheettr30;2024-05-20 18:45:27
input_tally_sheettr23;2024-05-20 19:57:34
input_tally_sheettr21;2024-05-21 07:47:02
input_tally_sheettr25;2024-05-21 08:14:07
input_tally_sheettr44;2024-05-21 10:07:34
input_tally_sheettr20;2024-05-21 11:56:33
input_tally_sheettr5;2024-05-21 14:21:39
input_tally_sheettr29;2024-05-21 14:37:43
input_tally_sheettr41;2024-05-21 14:46:01
input_tally_sheettr2;2024-05-21 15:07:13
input_tally_sheettr28;2024-05-21 15:56:22
input_tally_sheettr26;2024-05-21 15:58:13
input_tally_sheettr19;2024-05-21 16:28:49
input_tally_sheettr46;2024-05-21 17:31:21
input_tally_sheettr13;2024-05-21 22:07:45
input_tally_sheettr27;2024-05-22 10:38:57
input_tally_sheettr47;2024-05-22 10:47:27
input_tally_sheettr14;2024-05-22 11:05:10
input_tally_sheettr11;2024-05-22 12:05:07
input_tally_sheettr45;2024-05-22 14:25:08
input_tally_sheettr33;2024-05-22 14:31:51
input_tally_sheettr38;2024-05-22 14:41:53
input_tally_sheettr7;2024-05-22 14:44:46
input_tally_sheettr22;2024-05-22 14:58:35
input_tally_sheettr6;2024-05-22 15:10:53
input_tally_sheettr23;2024-05-22 15:25:57
input_tally_sheettr10;2024-05-22 16:08:11
input_tally_sheettr16;2024-05-22 16:14:53
input_tally_sheettr40;2024-05-22 16:16:32
input_tally_sheettr15;2024-05-22 16:18:13
input_tally_sheettr3;2024-05-22 16:26:48
input_tally_sheettr50;2024-05-22 16:30:30
input_tally_sheettr12;2024-05-22 16:58:43
input_tally_sheettr42;2024-05-22 17:01:18
input_tally_sheettr31;2024-05-22 17:08:49
input_tally_sheettr25;2024-05-22 20:40:38
input_tally_sheettr17;2024-05-22 21:04:20
input_tally_sheettr39;2024-05-22 22:14:23
input_tally_sheettr8;2024-05-22 23:55:26
input_tally_sheettr1;2024-05-23 09:28:51
input_tally_sheettr41;2024-05-23 12:08:54
input_tally_sheettr48;2024-05-23 12:29:52
input_tally_sheettr34;2024-05-23 15:05:00
input_tally_sheettr44;2024-05-23 15:54:22
input_tally_sheettr49;2024-05-23 16:19:21
input_tally_sheettr35;2024-05-23 16:26:09
input_tally_sheettr32;2024-05-23 16:47:33
input_tally_sheettr28;2024-05-23 18:02:02
input_tally_sheettr9;2024-05-23 19:34:27
input_tally_sheettr24;2024-05-23 21:18:57
input_tally_sheettr47;2024-05-24 10:11:10
input_tally_sheettr43;2024-05-24 10:59:39
input_tally_sheettr36;2024-05-24 11:50:34
input_tally_sheettr20;2024-05-24 12:01:24
input_tally_sheettr5;2024-05-24 15:56:09
input_tally_sheettr13;2024-05-24 16:33:45
input_tally_sheettr40;2024-05-24 17:12:15
input_tally_sheettr26;2024-05-24 22:50:40
input_tally_sheettr3;2024-05-27 09:02:30
input_tally_sheettr12;2024-05-27 09:47:42
input_tally_sheettr2;2024-05-27 10:18:32
input_tally_sheettr25;2024-05-27 10:46:07
input_tally_sheettr7;2024-05-27 10:47:07
input_tally_sheettr37;2024-05-27 11:34:41
input_tally_sheettr29;2024-05-27 11:39:22
input_tally_sheettr42;2024-05-27 11:56:01
input_tally_sheettr31;2024-05-27 12:01:38
input_tally_sheettr22;2024-05-27 14:03:16
input_tally_sheettr16;2024-05-27 14:44:28
input_tally_sheettr11;2024-05-27 14:52:31
input_tally_sheettr45;2024-05-27 14:52:38
input_tally_sheettr50;2024-05-27 15:03:27
input_tally_sheettr46;2024-05-27 15:19:19
input_tally_sheettr15;2024-05-27 15:29:56
input_tally_sheettr27;2024-05-27 15:45:24
input_tally_sheettr10;2024-05-27 16:05:22
input_tally_sheettr4;2024-05-27 16:06:23
input_tally_sheettr8;2024-05-27 16:57:46
input_tally_sheettr30;2024-05-27 17:04:48
input_tally_sheettr39;2024-05-27 17:14:11
input_tally_sheettr32;2024-05-27 17:54:22
input_tally_sheettr18;2024-05-28 10:02:24
input_tally_sheettr44;2024-05-28 10:21:25
input_tally_sheettr48;2024-05-28 11:32:16
input_tally_sheettr6;2024-05-28 12:40:27
input_tally_sheettr1;2024-05-28 14:48:14
input_tally_sheettr28;2024-05-28 15:03:42
input_tally_sheettr38;2024-05-28 15:13:37
input_tally_sheettr9;2024-05-28 16:04:10
input_tally_sheettr21;2024-05-28 16:51:32
input_tally_sheettr33;2024-05-28 17:46:32
input_tally_sheettr35;2024-05-28 18:17:36
input_tally_sheettr23;2024-05-28 22:32:03
input_tally_sheettr17;2024-05-28 22:45:24
input_tally_sheettr19;2024-05-29 09:06:08
input_tally_sheettr2;2024-05-29 10:51:42
input_tally_sheettr22;2024-05-29 11:26:14
input_tally_sheettr42;2024-05-29 11:44:41
input_tally_sheettr47;2024-05-29 11:59:38
input_tally_sheettr49;2024-05-29 13:18:19
input_tally_sheettr13;2024-05-29 13:21:56
input_tally_sheettr40;2024-05-29 13:23:46
input_tally_sheettr12;2024-05-29 14:34:49
input_tally_sheettr43;2024-05-29 14:42:02
input_tally_sheettr5;2024-05-29 14:48:46
input_tally_sheettr3;2024-05-29 15:06:45
input_tally_sheettr45;2024-05-29 16:50:57
input_tally_sheettr20;2024-05-29 18:53:35
input_tally_sheettr14;2024-05-29 21:45:30
input_tally_sheettr36;2024-05-30 08:52:38
input_tally_sheettr34;2024-05-30 09:25:40
input_tally_sheettr32;2024-05-30 09:32:52
input_tally_sheettr15;2024-05-30 09:44:03
input_tally_sheettr46;2024-05-30 10:21:21
input_tally_sheettr37;2024-05-30 10:37:46
input_tally_sheettr25;2024-05-30 10:45:07
input_tally_sheettr29;2024-05-30 10:46:03
input_tally_sheettr24;2024-05-30 11:34:33
input_tally_sheettr26;2024-05-30 14:47:15
input_tally_sheettr28;2024-05-30 14:50:21
input_tally_sheettr10;2024-05-30 14:57:13
input_tally_sheettr31;2024-05-30 14:59:31
input_tally_sheettr1;2024-05-30 15:56:14
input_tally_sheettr38;2024-05-30 16:07:08
input_tally_sheettr6;2024-05-30 17:25:11
