ocel_id;ocel_time
weigh_loaded_trucktr41;2024-05-13 14:20:17
weigh_loaded_trucktr8;2024-05-13 14:32:44
weigh_loaded_trucktr48;2024-05-13 14:38:22
weigh_loaded_trucktr39;2024-05-13 15:04:14
weigh_loaded_trucktr18;2024-05-13 15:12:51
weigh_loaded_trucktr28;2024-05-13 15:27:48
weigh_loaded_trucktr11;2024-05-13 16:11:21
weigh_loaded_trucktr7;2024-05-13 16:19:55
weigh_loaded_trucktr43;2024-05-13 16:50:57
weigh_loaded_trucktr30;2024-05-13 17:06:27
weigh_loaded_trucktr45;2024-05-13 17:28:27
weigh_loaded_trucktr44;2024-05-13 18:04:29
weigh_loaded_trucktr40;2024-05-14 11:33:53
weigh_loaded_trucktr50;2024-05-14 11:53:57
weigh_loaded_trucktr22;2024-05-14 14:21:25
weigh_loaded_trucktr21;2024-05-14 15:34:50
weigh_loaded_trucktr33;2024-05-14 16:48:07
weigh_loaded_trucktr24;2024-05-14 16:57:45
weigh_loaded_trucktr32;2024-05-14 17:23:37
weigh_loaded_trucktr27;2024-05-14 17:32:45
weigh_loaded_trucktr35;2024-05-14 18:22:21
weigh_loaded_trucktr16;2024-05-15 08:10:19
weigh_loaded_trucktr26;2024-05-15 08:15:57
weigh_loaded_trucktr18;2024-05-15 10:44:06
weigh_loaded_trucktr38;2024-05-15 10:53:47
weigh_loaded_trucktr6;2024-05-15 11:12:19
weigh_loaded_trucktr17;2024-05-15 11:26:04
weigh_loaded_trucktr49;2024-05-15 11:27:57
weigh_loaded_trucktr14;2024-05-15 11:51:12
weigh_loaded_trucktr25;2024-05-15 11:54:13
weigh_loaded_trucktr36;2024-05-15 13:07:41
weigh_loaded_trucktr39;2024-05-15 14:39:48
weigh_loaded_trucktr13;2024-05-15 15:20:57
weigh_loaded_trucktr37;2024-05-15 15:28:32
weigh_loaded_trucktr12;2024-05-15 16:08:09
weigh_loaded_trucktr30;2024-05-15 16:19:06
weigh_loaded_trucktr48;2024-05-15 16:22:18
weigh_loaded_trucktr34;2024-05-15 16:37:48
weigh_loaded_trucktr46;2024-05-15 16:42:34
weigh_loaded_trucktr9;2024-05-15 17:19:36
weigh_loaded_trucktr20;2024-05-15 17:57:50
weigh_loaded_trucktr23;2024-05-15 18:05:55
weigh_loaded_trucktr28;2024-05-15 18:59:22
weigh_loaded_trucktr19;2024-05-16 07:41:39
weigh_loaded_trucktr7;2024-05-16 09:33:56
weigh_loaded_trucktr29;2024-05-16 09:59:21
weigh_loaded_trucktr31;2024-05-16 10:08:01
weigh_loaded_trucktr43;2024-05-16 11:07:33
weigh_loaded_trucktr8;2024-05-16 11:16:12
weigh_loaded_trucktr41;2024-05-16 11:36:35
weigh_loaded_trucktr2;2024-05-16 11:48:10
weigh_loaded_trucktr3;2024-05-16 11:57:32
weigh_loaded_trucktr42;2024-05-16 13:57:47
weigh_loaded_trucktr15;2024-05-16 13:59:52
weigh_loaded_trucktr33;2024-05-16 16:23:44
weigh_loaded_trucktr1;2024-05-16 16:28:57
weigh_loaded_trucktr11;2024-05-16 18:12:22
weigh_loaded_trucktr32;2024-05-17 07:35:39
weigh_loaded_trucktr10;2024-05-17 08:44:02
weigh_loaded_trucktr47;2024-05-17 09:10:17
weigh_loaded_trucktr6;2024-05-17 11:28:59
weigh_loaded_trucktr22;2024-05-17 13:59:08
weigh_loaded_trucktr40;2024-05-17 14:58:01
weigh_loaded_trucktr38;2024-05-17 15:13:02
weigh_loaded_trucktr37;2024-05-17 15:33:11
weigh_loaded_trucktr35;2024-05-17 17:05:03
weigh_loaded_trucktr27;2024-05-17 17:10:54
weigh_loaded_trucktr39;2024-05-17 17:47:07
weigh_loaded_trucktr17;2024-05-17 19:10:12
weigh_loaded_trucktr7;2024-05-20 07:46:03
weigh_loaded_trucktr18;2024-05-20 08:01:24
weigh_loaded_trucktr45;2024-05-20 09:10:04
