event_id,timestamp,activity
load_trucktr16,2024-04-10 17:21:23,Load Truck
eval_trs_exittr49_Pcp64,2024-04-02 09:35:29,Evaluate the Truck Exit
print_w_tickettr49,2024-04-02 09:35:29,Print the Weighing Ticket
print_w_tickettr49,2024-04-03 17:14:24,Print the Weighing Ticket
print_w_tickettr49,2024-04-05 10:09:42,Print the Weighing Ticket
print_w_tickettr49,2024-04-09 12:22:49,Print the Weighing Ticket
print_w_tickettr49,2024-04-10 15:44:25,Print the Weighing Ticket
input_tally_sheettr49,2024-04-02 09:35:29,Input the Tally Sheet
input_tally_sheettr49,2024-04-03 17:14:24,Input the Tally Sheet
input_tally_sheettr49,2024-04-05 10:09:42,Input the Tally Sheet
input_tally_sheettr49,2024-04-09 12:22:49,Input the Tally Sheet
input_tally_sheettr49,2024-04-10 15:44:25,Input the Tally Sheet
weigh_loaded_trucktr42,2024-04-02 09:38:35,Weigh the Loaded Truck
weigh_loaded_trucktr42,2024-04-04 10:27:29,Weigh the Loaded Truck
weigh_loaded_trucktr42,2024-04-08 09:35:38,Weigh the Loaded Truck
weigh_loaded_trucktr42,2024-04-10 07:51:07,Weigh the Loaded Truck
weigh_loaded_trucktr42,2024-04-11 08:44:27,Weigh the Loaded Truck
assign_trs_Pcp34,2024-04-02 09:40:05,Assign Trucks
assign_trs_Pcp34,2024-04-02 14:51:55,Assign Trucks
assign_trs_Pcp34,2024-04-04 10:17:42,Assign Trucks
weigh_empty_trucktr32,2024-04-02 09:44:58,Weigh the Empty Truck
weigh_empty_trucktr32,2024-04-04 07:19:57,Weigh the Empty Truck
weigh_empty_trucktr32,2024-04-05 18:09:21,Weigh the Empty Truck
weigh_empty_trucktr32,2024-04-10 09:43:16,Weigh the Empty Truck
weigh_loaded_trucktr3,2024-04-02 09:52:56,Weigh the Loaded Truck
weigh_loaded_trucktr3,2024-04-03 10:42:35,Weigh the Loaded Truck
weigh_loaded_trucktr3,2024-04-04 17:10:16,Weigh the Loaded Truck
weigh_loaded_trucktr3,2024-04-08 10:13:48,Weigh the Loaded Truck
weigh_loaded_trucktr3,2024-04-10 09:28:15,Weigh the Loaded Truck
weigh_loaded_trucktr3,2024-04-11 12:17:24,Weigh the Loaded Truck
assign_trs_Pcp79,2024-04-02 09:57:58,Assign Trucks
assign_trs_Pcp79,2024-04-03 10:25:13,Assign Trucks
assign_trs_Pcp79,2024-04-04 13:23:30,Assign Trucks
weigh_empty_trucktr40,2024-04-02 09:58:29,Weigh the Empty Truck
weigh_empty_trucktr40,2024-04-03 17:03:55,Weigh the Empty Truck
weigh_empty_trucktr40,2024-04-05 16:15:18,Weigh the Empty Truck
weigh_empty_trucktr40,2024-04-09 16:45:54,Weigh the Empty Truck
weigh_empty_trucktr40,2024-04-11 10:51:31,Weigh the Empty Truck
assign_trs_Pcp15,2024-04-02 10:01:31,Assign Trucks
assign_trs_Pcp15,2024-04-04 09:47:16,Assign Trucks
assign_trs_Pcp15,2024-04-08 11:09:55,Assign Trucks
input_tally_sheettr33,2024-04-02 10:01:59,Input the Tally Sheet
input_tally_sheettr33,2024-04-04 12:00:08,Input the Tally Sheet
input_tally_sheettr33,2024-04-08 11:35:30,Input the Tally Sheet
input_tally_sheettr33,2024-04-09 11:31:10,Input the Tally Sheet
input_tally_sheettr33,2024-04-10 14:19:54,Input the Tally Sheet
print_w_tickettr33,2024-04-02 10:01:59,Print the Weighing Ticket
print_w_tickettr33,2024-04-04 12:00:08,Print the Weighing Ticket
print_w_tickettr33,2024-04-08 11:35:30,Print the Weighing Ticket
print_w_tickettr33,2024-04-09 11:31:10,Print the Weighing Ticket
print_w_tickettr33,2024-04-10 14:19:54,Print the Weighing Ticket
eval_trs_exittr33_Pcp29,2024-04-02 10:01:59,Evaluate the Truck Exit
weigh_loaded_trucktr38,2024-04-02 10:05:42,Weigh the Loaded Truck
weigh_loaded_trucktr38,2024-04-03 12:03:12,Weigh the Loaded Truck
weigh_loaded_trucktr38,2024-04-04 12:19:10,Weigh the Loaded Truck
weigh_loaded_trucktr38,2024-04-08 16:18:55,Weigh the Loaded Truck
weigh_loaded_trucktr38,2024-04-09 16:07:34,Weigh the Loaded Truck
weigh_loaded_trucktr38,2024-04-11 08:34:16,Weigh the Loaded Truck
weigh_loaded_trucktr50,2024-04-02 10:09:30,Weigh the Loaded Truck
weigh_loaded_trucktr50,2024-04-03 12:57:35,Weigh the Loaded Truck
weigh_loaded_trucktr50,2024-04-04 16:26:54,Weigh the Loaded Truck
weigh_loaded_trucktr50,2024-04-08 10:53:31,Weigh the Loaded Truck
weigh_loaded_trucktr50,2024-04-09 17:07:31,Weigh the Loaded Truck
weigh_loaded_trucktr50,2024-04-11 08:42:02,Weigh the Loaded Truck
weigh_empty_trucktr35,2024-04-02 10:09:33,Weigh the Empty Truck
weigh_empty_trucktr35,2024-04-04 15:05:37,Weigh the Empty Truck
weigh_empty_trucktr35,2024-04-08 11:51:31,Weigh the Empty Truck
weigh_empty_trucktr35,2024-04-09 18:16:17,Weigh the Empty Truck
weigh_loaded_trucktr6,2024-04-02 10:10:48,Weigh the Loaded Truck
weigh_loaded_trucktr6,2024-04-04 08:30:59,Weigh the Loaded Truck
